Id,UTC,UTCMilliseconds,PCLocalTime,PCTime,UpdateOf,Sensor_0_Raw,Sensor_0_Depth
77,2017-09-29 09:38:36.392,392,2017-09-29 09:38:36.392,2017-09-29 09:38:36.393,0,2.498779296875,44.28946044921875
78,2017-09-29 09:38:46.401,401,2017-09-29 09:38:46.401,2017-09-29 09:38:46.402,0,2.498779296875,44.28946044921875
79,2017-09-29 09:38:56.401,401,2017-09-29 09:38:56.401,2017-09-29 09:38:56.402,0,2.498779296875,44.28946044921875
80,2017-09-29 09:39:06.401,401,2017-09-29 09:39:06.401,2017-09-29 09:39:06.403,0,2.498779296875,44.28946044921875
81,2017-09-29 09:39:16.402,402,2017-09-29 09:39:16.402,2017-09-29 09:39:16.403,0,2.498779296875,44.28946044921875
82,2017-09-29 09:39:26.402,402,2017-09-29 09:39:26.402,2017-09-29 09:39:26.403,0,2.498779296875,44.28946044921875
83,2017-09-29 09:39:36.402,402,2017-09-29 09:39:36.402,2017-09-29 09:39:36.403,0,2.498779296875,44.28946044921875
84,2017-09-29 09:39:46.403,403,2017-09-29 09:39:46.403,2017-09-29 09:39:46.404,0,2.498779296875,44.28946044921875
85,2017-09-29 09:39:56.403,403,2017-09-29 09:39:56.403,2017-09-29 09:39:56.404,0,2.498779296875,44.28946044921875
86,2017-09-29 09:40:06.404,404,2017-09-29 09:40:06.404,2017-09-29 09:40:06.405,0,2.498779296875,44.28946044921875
87,2017-09-29 09:40:16.403,403,2017-09-29 09:40:16.403,2017-09-29 09:40:16.404,0,2.498779296875,44.28946044921875
88,2017-09-29 09:40:26.404,404,2017-09-29 09:40:26.404,2017-09-29 09:40:26.405,0,2.498779296875,44.28946044921875
89,2017-09-29 09:40:36.404,404,2017-09-29 09:40:36.404,2017-09-29 09:40:36.405,0,2.498779296875,44.28946044921875
90,2017-09-29 09:40:46.404,404,2017-09-29 09:40:46.404,2017-09-29 09:40:46.406,0,2.498779296875,44.28946044921875
91,2017-09-29 09:40:56.405,405,2017-09-29 09:40:56.405,2017-09-29 09:40:56.406,0,2.498779296875,44.28946044921875
92,2017-09-29 09:41:06.405,405,2017-09-29 09:41:06.405,2017-09-29 09:41:06.406,0,2.498779296875,44.28946044921875
93,2017-09-29 09:41:16.406,406,2017-09-29 09:41:16.406,2017-09-29 09:41:16.407,0,2.498779296875,44.28946044921875
94,2017-09-29 09:41:26.405,405,2017-09-29 09:41:26.405,2017-09-29 09:41:26.407,0,2.498779296875,44.28946044921875
95,2017-09-29 09:41:36.414,414,2017-09-29 09:41:36.414,2017-09-29 09:41:36.415,0,2.498779296875,44.28946044921875
96,2017-09-29 09:41:46.414,414,2017-09-29 09:41:46.414,2017-09-29 09:41:46.415,0,2.498779296875,44.28946044921875
97,2017-09-29 09:41:56.414,414,2017-09-29 09:41:56.414,2017-09-29 09:41:56.415,0,2.498779296875,44.28946044921875
98,2017-09-29 09:42:06.414,414,2017-09-29 09:42:06.414,2017-09-29 09:42:06.415,0,2.498779296875,44.28946044921875
99,2017-09-29 09:42:16.415,415,2017-09-29 09:42:16.415,2017-09-29 09:42:16.416,0,2.498779296875,44.28946044921875
100,2017-09-29 09:42:26.415,415,2017-09-29 09:42:26.415,2017-09-29 09:42:26.417,0,2.498779296875,44.28946044921875
101,2017-09-29 09:42:36.415,415,2017-09-29 09:42:36.415,2017-09-29 09:42:36.416,0,2.498779296875,44.28946044921875
102,2017-09-29 09:42:46.416,416,2017-09-29 09:42:46.416,2017-09-29 09:42:46.416,0,2.498779296875,44.28946044921875
103,2017-09-29 09:42:56.416,416,2017-09-29 09:42:56.416,2017-09-29 09:42:56.417,0,2.498779296875,44.28946044921875
104,2017-09-29 09:43:06.417,417,2017-09-29 09:43:06.417,2017-09-29 09:43:06.418,0,2.498779296875,44.28946044921875
105,2017-09-29 09:43:16.425,425,2017-09-29 09:43:16.425,2017-09-29 09:43:16.426,0,2.498779296875,44.28946044921875
106,2017-09-29 09:43:26.425,425,2017-09-29 09:43:26.425,2017-09-29 09:43:26.426,0,2.498779296875,44.28946044921875
107,2017-09-29 09:43:36.426,426,2017-09-29 09:43:36.426,2017-09-29 09:43:36.426,0,2.498779296875,44.28946044921875
108,2017-09-29 09:43:46.426,426,2017-09-29 09:43:46.426,2017-09-29 09:43:46.427,0,2.498779296875,44.28946044921875
109,2017-09-29 09:43:56.426,426,2017-09-29 09:43:56.426,2017-09-29 09:43:56.426,0,2.498779296875,44.28946044921875
110,2017-09-29 09:44:06.427,427,2017-09-29 09:44:06.427,2017-09-29 09:44:06.428,0,2.498779296875,44.28946044921875
111,2017-09-29 09:44:16.427,427,2017-09-29 09:44:16.427,2017-09-29 09:44:16.428,0,2.498779296875,44.28946044921875
112,2017-09-29 09:44:26.427,427,2017-09-29 09:44:26.427,2017-09-29 09:44:26.428,0,2.498779296875,44.28946044921875
113,2017-09-29 09:44:36.427,427,2017-09-29 09:44:36.427,2017-09-29 09:44:36.429,0,2.498779296875,44.28946044921875
114,2017-09-29 09:44:46.427,427,2017-09-29 09:44:46.427,2017-09-29 09:44:46.428,0,2.498779296875,44.28946044921875
115,2017-09-29 09:44:56.427,427,2017-09-29 09:44:56.427,2017-09-29 09:44:56.429,0,2.498779296875,44.28946044921875
116,2017-09-29 09:45:06.428,428,2017-09-29 09:45:06.428,2017-09-29 09:45:06.429,0,2.498779296875,44.28946044921875
117,2017-09-29 09:45:16.429,429,2017-09-29 09:45:16.429,2017-09-29 09:45:16.430,0,2.498779296875,44.28946044921875
118,2017-09-29 09:45:26.428,428,2017-09-29 09:45:26.428,2017-09-29 09:45:26.430,0,2.498779296875,44.28946044921875
119,2017-09-29 09:45:36.437,437,2017-09-29 09:45:36.437,2017-09-29 09:45:36.438,0,2.498779296875,44.28946044921875
120,2017-09-29 09:45:46.437,437,2017-09-29 09:45:46.437,2017-09-29 09:45:46.438,0,2.498779296875,44.28946044921875
121,2017-09-29 09:45:56.437,437,2017-09-29 09:45:56.437,2017-09-29 09:45:56.438,0,2.498779296875,44.28946044921875
122,2017-09-29 09:46:06.438,438,2017-09-29 09:46:06.438,2017-09-29 09:46:06.440,0,2.498779296875,44.28946044921875
123,2017-09-29 09:46:16.438,438,2017-09-29 09:46:16.438,2017-09-29 09:46:16.440,0,2.498779296875,44.28946044921875
124,2017-09-29 09:46:26.439,439,2017-09-29 09:46:26.439,2017-09-29 09:46:26.440,0,2.498779296875,44.28946044921875
125,2017-09-29 09:46:36.439,439,2017-09-29 09:46:36.439,2017-09-29 09:46:36.440,0,2.498779296875,44.28946044921875
126,2017-09-29 09:46:46.439,439,2017-09-29 09:46:46.439,2017-09-29 09:46:46.440,0,2.498779296875,44.28946044921875
127,2017-09-29 09:46:56.439,439,2017-09-29 09:46:56.439,2017-09-29 09:46:56.441,0,2.498779296875,44.28946044921875
128,2017-09-29 09:47:06.440,440,2017-09-29 09:47:06.440,2017-09-29 09:47:06.441,0,2.498779296875,44.28946044921875
129,2017-09-29 09:47:16.440,440,2017-09-29 09:47:16.440,2017-09-29 09:47:16.441,0,2.498779296875,44.28946044921875
130,2017-09-29 09:47:26.440,440,2017-09-29 09:47:26.440,2017-09-29 09:47:26.441,0,2.498779296875,44.28946044921875
131,2017-09-29 09:47:36.441,441,2017-09-29 09:47:36.441,2017-09-29 09:47:36.441,0,2.498779296875,44.28946044921875
132,2017-09-29 09:47:46.440,440,2017-09-29 09:47:46.440,2017-09-29 09:47:46.441,0,2.498779296875,44.28946044921875
133,2017-09-29 09:47:56.441,441,2017-09-29 09:47:56.441,2017-09-29 09:47:56.442,0,2.498779296875,44.28946044921875
134,2017-09-29 09:48:06.449,449,2017-09-29 09:48:06.449,2017-09-29 09:48:06.451,0,2.498779296875,44.28946044921875
135,2017-09-29 09:48:16.450,450,2017-09-29 09:48:16.450,2017-09-29 09:48:16.451,0,2.498779296875,44.28946044921875
136,2017-09-29 09:48:26.450,450,2017-09-29 09:48:26.450,2017-09-29 09:48:26.451,0,2.498779296875,44.28946044921875
137,2017-09-29 09:48:36.450,450,2017-09-29 09:48:36.450,2017-09-29 09:48:36.451,0,2.498779296875,44.28946044921875
138,2017-09-29 09:48:46.451,451,2017-09-29 09:48:46.451,2017-09-29 09:48:46.452,0,2.498779296875,44.28946044921875
139,2017-09-29 09:48:56.451,451,2017-09-29 09:48:56.451,2017-09-29 09:48:56.452,0,2.498779296875,44.28946044921875
140,2017-09-29 09:49:06.452,452,2017-09-29 09:49:06.452,2017-09-29 09:49:06.452,0,2.498779296875,44.28946044921875
141,2017-09-29 09:49:16.451,451,2017-09-29 09:49:16.451,2017-09-29 09:49:16.452,0,2.498779296875,44.28946044921875
142,2017-09-29 09:49:26.452,452,2017-09-29 09:49:26.452,2017-09-29 09:49:26.453,0,2.498779296875,44.28946044921875
143,2017-09-29 09:49:36.452,452,2017-09-29 09:49:36.452,2017-09-29 09:49:36.453,0,2.498779296875,44.28946044921875
144,2017-09-29 09:49:46.453,453,2017-09-29 09:49:46.453,2017-09-29 09:49:46.454,0,2.498779296875,44.28946044921875
145,2017-09-29 09:49:56.453,453,2017-09-29 09:49:56.453,2017-09-29 09:49:56.453,0,2.498779296875,44.28946044921875
146,2017-09-29 09:50:06.453,453,2017-09-29 09:50:06.453,2017-09-29 09:50:06.454,0,2.498779296875,44.28946044921875
147,2017-09-29 09:50:16.454,454,2017-09-29 09:50:16.454,2017-09-29 09:50:16.454,0,2.498779296875,44.28946044921875
148,2017-09-29 09:50:26.462,462,2017-09-29 09:50:26.462,2017-09-29 09:50:26.463,0,2.498779296875,44.28946044921875
149,2017-09-29 09:50:36.462,462,2017-09-29 09:50:36.462,2017-09-29 09:50:36.462,0,2.498779296875,44.28946044921875
150,2017-09-29 09:50:46.462,462,2017-09-29 09:50:46.462,2017-09-29 09:50:46.463,0,2.498779296875,44.28946044921875
151,2017-09-29 09:50:56.463,463,2017-09-29 09:50:56.463,2017-09-29 09:50:56.464,0,2.498779296875,44.28946044921875
